Wall time,Step,Value
1715875115.9341097,0,-0.0018922303570434451
1715875120.842395,1,-0.004144078120589256
1715875125.5898154,2,-0.005793239921331406
1715875130.3205369,3,-0.007502622902393341
1715875134.7090766,4,-0.008504287339746952
1715875139.1341784,5,-0.01048872247338295
1715875143.5840733,6,-0.009546328336000443
1715875148.041913,7,-0.008525930345058441
1715875152.5291185,8,-0.006899903528392315
1715875157.0414183,9,-0.006557288579642773
1715875161.6118913,10,-0.005709423683583736
1715875166.1575987,11,-0.006854750216007233
1715875170.7973838,12,-0.006046952214092016
1715875175.39505,13,-0.007745481561869383
1715875179.999197,14,-0.0063168383203446865
1715875184.5910583,15,-0.006641486193984747
1715875189.220245,16,-0.006047384813427925
1715875193.7649553,17,-0.007088180631399155
1715875198.3411028,18,-0.007123098708689213
1715875202.8957763,19,-0.007117218337953091
1715875207.480235,20,-0.007528012152761221
1715875212.0665169,21,-0.009223398752510548
1715875216.6005123,22,-0.007376649882644415
1715875221.1613662,23,-0.009275997057557106
1715875225.8065662,24,-0.008958683349192142
1715875230.3403695,25,-0.01052255742251873
1715875234.920571,26,-0.008382217958569527
1715875239.4541254,27,-0.010372850112617016
1715875244.0754006,28,-0.009053589776158333
1715875248.6781406,29,-0.011833785101771355
1715875253.3134205,30,-0.010010593570768833
1715875257.8552065,31,-0.007829498499631882
1715875262.4226358,32,-0.0100422203540802
1715875267.0345302,33,-0.011916911229491234
1715875271.5581014,34,-0.011712508276104927
1715875276.1501076,35,-0.013948085717856884
1715875280.7755685,36,-0.007573946379125118
1715875285.4072945,37,-0.010682884603738785
1715875290.0202742,38,-0.012796096503734589
1715875294.5961275,39,-0.01155707985162735
1715875299.1205404,40,-0.009151757694780827
1715875303.7101986,41,-0.010147299617528915
1715875308.2352757,42,-0.012651035562157631
1715875312.761597,43,-0.01805468276143074
1715875317.3084393,44,-0.009983398020267487
1715875321.8964877,45,-0.011138567700982094
1715875326.4022312,46,-0.01191483810544014
1715875330.9530208,47,-0.01278901007026434
1715875335.5052528,48,-0.010932309553027153
1715875340.1059158,49,-0.012182708829641342
1715875344.631949,50,-0.010811968706548214
1715875349.2482512,51,-0.015061475336551666
1715875353.761807,52,-0.014941774308681488
1715875358.338285,53,-0.013081967830657959
1715875362.8292766,54,-0.01610381156206131
1715875367.3624017,55,-0.010759084485471249
1715875371.9194117,56,-0.018290910869836807
1715875376.4319072,57,-0.015353447757661343
1715875381.013167,58,-0.0161498561501503
1715875385.5519624,59,-0.01481541246175766
1715875390.1224124,60,-0.01483460795134306
1715875394.6244762,61,-0.019104689359664917
1715875399.2699435,62,-0.01110550295561552
1715875403.7896793,63,-0.019191354513168335
1715875408.3834372,64,-0.02245440147817135
1715875412.9669237,65,-0.01845824532210827
1715875417.5442476,66,-0.014360994100570679
1715875422.022556,67,-0.01766004040837288
1715875426.5668218,68,-0.014968477189540863
1715875431.0740006,69,-0.01338205300271511
1715875435.690184,70,-0.017196014523506165
1715875440.2329426,71,-0.013132485561072826
1715875444.7437055,72,-0.011018065735697746
1715875449.29975,73,-0.014096289873123169
1715875453.924794,74,-0.015276944264769554
1715875458.492136,75,-0.01196802407503128
1715875463.058798,76,-0.012210370972752571
1715875467.5953395,77,-0.013049489818513393
1715875472.2334754,78,-0.009714080020785332
1715875476.8812335,79,-0.01585356891155243
1715875481.4733274,80,-0.017514394596219063
1715875486.0571873,81,-0.016407398506999016
1715875490.6630979,82,-0.023390604183077812
1715875495.2985744,83,-0.020915567874908447
1715875499.8792048,84,-0.010791592299938202
1715875504.4550145,85,-0.027804365381598473
1715875509.0066826,86,-0.02118593081831932
