Wall time,Step,Value
1715863149.8407595,0,-0.003877315204590559
1715863154.7389307,1,-0.004065393935889006
1715863159.6668787,2,-0.00414186529815197
1715863164.4765441,3,-0.004166667349636555
1715863168.9091353,4,-0.004166667349636555
1715863173.4173293,5,-0.004091435577720404
1715863177.923983,6,-0.004166667349636555
1715863182.465674,7,-0.004166667349636555
1715863187.0260036,8,-0.004166667349636555
1715863191.5755908,9,-0.004166667349636555
1715863196.128181,10,-0.004166667349636555
1715863200.665004,11,-0.004166667349636555
1715863205.2369308,12,-0.004166667349636555
1715863209.7918878,13,-0.004166667349636555
1715863214.3159273,14,-0.004166667349636555
1715863218.900383,15,-0.004166667349636555
1715863223.4970345,16,-0.004166667349636555
1715863228.0279634,17,-0.004166667349636555
1715863232.801413,18,-0.004166667349636555
1715863237.4451742,19,-0.004166667349636555
1715863242.1863844,20,-0.004166667349636555
1715863246.8950229,21,-0.004166667349636555
1715863251.7947211,22,-0.004166667349636555
1715863256.9513044,23,-0.004166667349636555
1715863262.185408,24,-0.004166667349636555
1715863267.3874543,25,-0.004166667349636555
1715863272.692573,26,-0.004166667349636555
1715863278.1529686,27,-0.004166667349636555
1715863283.3424675,28,-0.004166667349636555
1715863287.9642525,29,-0.004166667349636555
1715863292.63961,30,-0.004166667349636555
1715863297.3136184,31,-0.004166667349636555
1715863301.9412925,32,-0.004166667349636555
1715863306.5777543,33,-0.004166667349636555
1715863311.2056336,34,-0.004166667349636555
1715863315.7914379,35,-0.004166667349636555
1715863320.3549557,36,-0.004166667349636555
1715863324.9788663,37,-0.004166667349636555
1715863329.5776253,38,-0.004166667349636555
1715863334.1774247,39,-0.004166667349636555
1715863338.8304873,40,-0.004166667349636555
1715863343.516245,41,-0.004166667349636555
1715863348.1360004,42,-0.004166667349636555
1715863352.7592783,43,-0.004166667349636555
1715863357.3302722,44,-0.004166667349636555
1715863362.2500217,45,-0.004166667349636555
1715863367.2194006,46,-0.004166667349636555
1715863372.421699,47,-0.004166667349636555
1715863377.4077897,48,-0.004166667349636555
1715863382.5179489,49,-0.004166667349636555
1715863387.538611,50,-0.004166667349636555
1715863392.9529748,51,-0.004166667349636555
1715863398.2260103,52,-0.004166667349636555
1715863403.4261227,53,-0.004166667349636555
1715863408.2393286,54,-0.004166667349636555
1715863412.9956427,55,-0.004166667349636555
1715863417.750757,56,-0.004166667349636555
1715863422.9539366,57,-0.004166667349636555
1715863428.3085606,58,-0.004166667349636555
1715863433.7374532,59,-0.004166667349636555
1715863439.052862,60,-0.004166667349636555
1715863444.347787,61,-0.004166667349636555
1715863449.679925,62,-0.004166667349636555
1715863454.5886343,63,-0.004166667349636555
1715863459.3154936,64,-0.004166667349636555
1715863464.0513468,65,-0.004166667349636555
1715863468.8960035,66,-0.004166667349636555
1715863473.5602589,67,-0.004166667349636555
1715863478.3745284,68,-0.004166667349636555
1715863483.1038096,69,-0.004166667349636555
1715863487.90267,70,-0.004166667349636555
1715863492.6408312,71,-0.004166667349636555
1715863497.313678,72,-0.004166667349636555
1715863502.0531068,73,-0.004166667349636555
1715863506.74272,74,-0.004166667349636555
1715863511.3973556,75,-0.004166667349636555
1715863516.067161,76,-0.004166667349636555
1715863520.7188764,77,-0.004166667349636555
1715863525.4152517,78,-0.004166667349636555
1715863530.0409117,79,-0.004166667349636555
1715863534.7073405,80,-0.004166667349636555
1715863539.3243456,81,-0.004166667349636555
1715863543.9944038,82,-0.004166667349636555
1715863548.6628466,83,-0.004166667349636555
1715863553.2982914,84,-0.004166667349636555
1715863557.915683,85,-0.004166667349636555
1715863562.762643,86,-0.004166667349636555
1715863567.433357,87,-0.004166667349636555
1715863572.0364122,88,-0.004166667349636555
1715863576.788337,89,-0.004166667349636555
1715863581.6290977,90,-0.004166667349636555
1715863586.5697985,91,-0.004166667349636555
1715863591.6721394,92,-0.004166667349636555
1715863596.507191,93,-0.004166667349636555
1715863601.3179536,94,-0.004166667349636555
1715863605.9953725,95,-0.004166667349636555
1715863610.6956327,96,-0.004166667349636555
1715863615.3473284,97,-0.004166667349636555
1715863619.9475784,98,-0.004166667349636555
1715863624.721712,99,-0.004166667349636555
1715863629.4716923,100,-0.004166667349636555
1715863634.3097312,101,-0.0040509263053536415
1715863638.875411,102,-0.004166667349636555
1715863643.5704317,103,-0.004166667349636555
1715863648.093327,104,-0.004166667349636555
1715863652.6066117,105,-0.004166667349636555
1715863657.089283,106,-0.004166667349636555
1715863661.7374198,107,-0.003993055783212185
1715863666.6889904,108,-0.004166667349636555
1715863671.5757775,109,-0.003993055783212185
1715863676.8769784,110,-0.0040798611007630825
1715863681.8472133,111,-0.004166667349636555
1715863687.1307428,112,-0.004166667349636555
1715863692.5312595,113,-0.004166667349636555
1715863698.876553,114,-0.004166667349636555
1715863704.497347,115,-0.0040798611007630825
1715863710.0972145,116,-0.004166667349636555
1715863714.9242554,117,-0.004166667349636555
1715863719.8544896,118,-0.003993055783212185
1715863724.6303935,119,-0.0040798611007630825
1715863729.8498244,120,-0.0038194446824491024
1715863735.035176,121,-0.004166667349636555
1715863740.1431956,122,-0.004166667349636555
1715863745.5396473,123,-0.004166667349636555
1715863750.8519776,124,-0.003993055783212185
1715863755.894121,125,-0.004166667349636555
1715863760.7038739,126,-0.004166667349636555
1715863765.3460326,127,-0.004166667349636555
1715863770.093385,128,-0.004166667349636555
1715863774.7925103,129,-0.004166667349636555
1715863779.451428,130,-0.004166667349636555
1715863784.0719087,131,-0.004166667349636555
1715863788.7211528,132,-0.004166667349636555
1715863793.6373749,133,-0.004166667349636555
1715863798.8340602,134,-0.004166667349636555
1715863804.2171698,135,-0.004166667349636555
1715863809.003835,136,-0.004166667349636555
1715863814.0072272,137,-0.004166667349636555
1715863818.6563358,138,-0.004166667349636555
1715863823.276993,139,-0.004166667349636555
1715863827.8880122,140,-0.004166667349636555
1715863832.5428696,141,-0.004166667349636555
1715863837.1894066,142,-0.004166667349636555
1715863842.319188,143,-0.003935185726732016
1715863847.1819131,144,-0.004166667349636555
1715863852.0636184,145,-0.004166667349636555
1715863856.9859686,146,-0.0038194446824491024
1715863861.8932846,147,-0.004166667349636555
1715863866.7625268,148,-0.004166667349636555
1715863871.987888,149,-0.004166667349636555
1715863876.9079304,150,-0.004108796827495098
1715863881.9325123,151,-0.004166667349636555
1715863886.8756392,152,-0.004166667349636555
1715863892.2378685,153,-0.00364583358168602
1715863897.5672686,154,-0.004166667349636555
1715863902.9787307,155,-0.004166667349636555
1715863908.1789982,156,-0.004166667349636555
1715863913.1652746,157,-0.0037615743931382895
1715863918.4249883,158,-0.0038194446824491024
1715863923.6193783,159,-0.003993055783212185
1715863928.77784,160,-0.0040798611007630825
1715863933.9445431,161,-0.004166667349636555
1715863938.9573932,162,-0.0040798611007630825
1715863944.188193,163,-0.004166667349636555
1715863949.5451605,164,-0.003993055783212185
1715863954.8733826,165,-0.00364583358168602
1715863960.323516,166,-0.004166667349636555
1715863965.8590612,167,-0.004166667349636555
1715863971.1505642,168,-0.004166667349636555
1715863976.6729496,169,-0.003472222713753581
1715863982.2621286,170,-0.004166667349636555
1715863987.0588942,171,-0.004166667349636555
1715863992.008431,172,-0.00364583358168602
1715863996.950132,173,-0.004166667349636555
1715864001.8287508,174,-0.003993055783212185
1715864006.5395424,175,-0.004166667349636555
1715864011.2834527,176,-0.004166667349636555
1715864016.061894,177,-0.003993055783212185
1715864021.2533596,178,-0.004166667349636555
